year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","200022","Bismarck State College","ND","Public","Four or more years"
"2016","200059","Dickinson State University","ND","Public","Four or more years"
"2016","200226","Mayville State University","ND","Public","Four or more years"
"2016","200253","Minot State University","ND","Public","Four or more years"
"2016","200332","North Dakota State University-Main Campus","ND","Public","Four or more years"
"2016","200086","Nueta Hidatsa Sahnish College","ND","Public","Four or more years"
"2016","200013","Rasmussen College-North Dakota","ND","Private for-profit","Four or more years"
"2016","200466","Sitting Bull College","ND","Public","Four or more years"
"2016","200484","Trinity Bible College and Graduate School","ND","Private not-for-profit","Four or more years"
"2016","200527","Turtle Mountain Community College","ND","Private not-for-profit","Four or more years"
"2016","200554","United Tribes Technical College","ND","Private not-for-profit","Four or more years"
"2016","200156","University of Jamestown","ND","Private not-for-profit","Four or more years"
"2016","200217","University of Mary","ND","Private not-for-profit","Four or more years"
"2016","200280","University of North Dakota","ND","Public","Four or more years"
"2016","200572","Valley City State University","ND","Public","Four or more years"
"2015","200022","Bismarck State College","ND","Public","Four or more years"
"2015","200059","Dickinson State University","ND","Public","Four or more years"
"2015","200226","Mayville State University","ND","Public","Four or more years"
"2015","200253","Minot State University","ND","Public","Four or more years"
"2015","200332","North Dakota State University-Main Campus","ND","Public","Four or more years"
"2015","200086","Nueta Hidatsa Sahnish College","ND","Public","Four or more years"
"2015","200013","Rasmussen College-North Dakota","ND","Private for-profit","Four or more years"
"2015","200466","Sitting Bull College","ND","Public","Four or more years"
"2015","200484","Trinity Bible College","ND","Private not-for-profit","Four or more years"
"2015","200527","Turtle Mountain Community College","ND","Private not-for-profit","Four or more years"
"2015","200554","United Tribes Technical College","ND","Private not-for-profit","Four or more years"
"2015","200156","University of Jamestown","ND","Private not-for-profit","Four or more years"
"2015","200217","University of Mary","ND","Private not-for-profit","Four or more years"
"2015","200280","University of North Dakota","ND","Public","Four or more years"
"2015","200572","Valley City State University","ND","Public","Four or more years"
"2014","200022","Bismarck State College","ND","Public","Four or more years"
"2014","200059","Dickinson State University","ND","Public","Four or more years"
"2014","200086","Fort Berthold Community College","ND","Public","Four or more years"
"2014","200226","Mayville State University","ND","Public","Four or more years"
"2014","200253","Minot State University","ND","Public","Four or more years"
"2014","200332","North Dakota State University-Main Campus","ND","Public","Four or more years"
"2014","200013","Rasmussen College-North Dakota","ND","Private for-profit","Four or more years"
"2014","200244","Sanford College of Nursing","ND","Private not-for-profit","Four or more years"
"2014","200466","Sitting Bull College","ND","Public","Four or more years"
"2014","200484","Trinity Bible College","ND","Private not-for-profit","Four or more years"
"2014","200527","Turtle Mountain Community College","ND","Private not-for-profit","Four or more years"
"2014","200554","United Tribes Technical College","ND","Private not-for-profit","Four or more years"
