year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","200022","Bismarck State College","ND","10","53600","39600","","44800","","29200","70300","","44600","54600","61800","","54700","50600","38700","65900"
"2014","200022","Bismarck State College","ND","8","49900","34400","","42500","","28300","66200","","","","","","","","",""
"2014","200022","Bismarck State College","ND","6","48500","34100","","41300","","26300","63400","","38200","52300","53600","","47300","50700","33300","59400"
"2014","200208","Cankdeska Cikana Community College","ND","10","20000","16300","","16400","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","200208","Cankdeska Cikana Community College","ND","8","16700","15900","","11200","","2600","27900","","","","","","","","",""
"2014","200208","Cankdeska Cikana Community College","ND","6","17200","14100","","14100","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","200314","Dakota College at Bottineau","ND","10","43000","30600","","37900","","24000","56800","","41800","42200","45700","","46700","35300","31900","54000"
"2014","200314","Dakota College at Bottineau","ND","8","37200","27300","","33100","","19400","49700","","","","","","","","",""
"2014","200314","Dakota College at Bottineau","ND","6","37900","26600","","35000","","19400","49300","","28500","41100","48300","","43300","29500","29400","47500"
"2014","200059","Dickinson State University","ND","10","49300","40500","","41700","","23700","63500","","41400","49800","58600","","51700","42600","36600","65700"
"2014","200059","Dickinson State University","ND","8","49000","40300","","41900","","27400","57800","","","","","","","","",""
"2014","200059","Dickinson State University","ND","6","42300","28500","","38400","","24200","53300","","36800","45200","45200","","42700","41600","36200","51100"
"2014","200086","Fort Berthold Community College","ND","10","31200","25700","","28600","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","200086","Fort Berthold Community College","ND","8","23500","21800","","16500","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","200086","Fort Berthold Community College","ND","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","200129","Headquarters Academy of Hair Design Inc","ND","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","200129","Headquarters Academy of Hair Design Inc","ND","8","19700","15200","","17600","","Suppressed data","Suppressed data","","","","","","","","",""
