year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","449889","American College of Education","IN","Private for-profit","Four or more years"
"2016","151865","Anabaptist Mennonite Biblical Seminary","IN","Private not-for-profit","Four or more years"
"2016","150066","Anderson University","IN","Private not-for-profit","Four or more years"
"2016","150136","Ball State University","IN","Public","Four or more years"
"2016","143233","Bethany Theological Seminary","IN","Private not-for-profit","Four or more years"
"2016","150145","Bethel College-Indiana","IN","Private not-for-profit","Four or more years"
"2016","408039","Brown Mackie College-Fort Wayne","IN","Private for-profit","Four or more years"
"2016","451699","Brown Mackie College-Indianapolis","IN","Private for-profit","Four or more years"
"2016","151616","Brown Mackie College-Merrillville","IN","Private for-profit","Four or more years"
"2016","151625","Brown Mackie College-Michigan City","IN","Private for-profit","Four or more years"
"2016","151944","Brown Mackie College-South Bend","IN","Private for-profit","Four or more years"
"2016","150163","Butler University","IN","Private not-for-profit","Four or more years"
"2016","150172","Calumet College of Saint Joseph","IN","Private not-for-profit","Four or more years"
"2016","475741","Chamberlain College of Nursing-Indiana","IN","Private for-profit","Four or more years"
"2016","150215","Christian Theological Seminary","IN","Private not-for-profit","Four or more years"
"2016","150288","Concordia Theological Seminary","IN","Private not-for-profit","Four or more years"
"2016","439613","Crossroads Bible College","IN","Private not-for-profit","Four or more years"
"2016","150400","DePauw University","IN","Private not-for-profit","Four or more years"
"2016","482486","DeVry University-Indiana","IN","Private for-profit","Four or more years"
"2016","150455","Earlham College","IN","Private not-for-profit","Four or more years"
"2016","150604","Franklin College","IN","Private not-for-profit","Four or more years"
"2016","150668","Goshen College","IN","Private not-for-profit","Four or more years"
"2016","150677","Grace College and Theological Seminary","IN","Private not-for-profit","Four or more years"
"2016","150756","Hanover College","IN","Private not-for-profit","Four or more years"
"2016","151166","Harrison College-Indianapolis","IN","Private for-profit","Four or more years"
"2016","150774","Holy Cross College","IN","Private not-for-profit","Four or more years"
"2016","150941","Huntington University","IN","Private not-for-profit","Four or more years"
"2016","151290","Indiana Institute of Technology","IN","Private not-for-profit","Four or more years"
"2016","151324","Indiana State University","IN","Public","Four or more years"
"2016","151351","Indiana University-Bloomington","IN","Public","Four or more years"
"2016","151388","Indiana University-East","IN","Public","Four or more years"
"2016","151333","Indiana University-Kokomo","IN","Public","Four or more years"
"2016","151360","Indiana University-Northwest","IN","Public","Four or more years"
"2016","151102","Indiana University-Purdue University-Fort Wayne","IN","Public","Four or more years"
"2016","151111","Indiana University-Purdue University-Indianapolis","IN","Public","Four or more years"
"2016","151342","Indiana University-South Bend","IN","Public","Four or more years"
"2016","151379","Indiana University-Southeast","IN","Public","Four or more years"
"2016","151801","Indiana Wesleyan University-Marion","IN","Private not-for-profit","Four or more years"
"2016","488679","Indiana Wesleyan University-National and Global","IN","Private not-for-profit","Four or more years"
"2016","151458","International Business College-Fort Wayne","IN","Private for-profit","Four or more years"
"2016","151485","ITT Educational Services Inc-System Office","IN","Private for-profit","Four or more years"
"2016","151500","ITT Technical Institute-Fort Wayne","IN","Private for-profit","Four or more years"
"2016","479628","ITT Technical Institute-Indianapolis East","IN","Private for-profit","Four or more years"
"2016","151519","ITT Technical Institute-Indianapolis","IN","Private for-profit","Four or more years"
"2016","459587","ITT Technical Institute-Merrillville","IN","Private for-profit","Four or more years"
"2016","251251","ITT Technical Institute-Newburgh","IN","Private for-profit","Four or more years"
"2016","450270","ITT Technical Institute-South Bend","IN","Private for-profit","Four or more years"
"2016","489779","Kaplan University-Indianapolis","IN","Private for-profit","Four or more years"
"2016","151777","Manchester University","IN","Private not-for-profit","Four or more years"
"2016","151786","Marian University","IN","Private not-for-profit","Four or more years"
"2016","151810","Martin University","IN","Private not-for-profit","Four or more years"
"2016","151962","Mid-America College of Funeral Service","IN","Private not-for-profit","Four or more years"
"2016","482370","National American University-Indianapolis","IN","Private for-profit","Four or more years"
"2016","152099","Oakland City University","IN","Private not-for-profit","Four or more years"
"2016","442897","Ottawa University-Jeffersonville","IN","Private not-for-profit","Four or more years"
"2016","152248","Purdue University-Calumet Campus","IN","Public","Four or more years"
"2016","243780","Purdue University-Main Campus","IN","Public","Four or more years"
"2016","152266","Purdue University-North Central Campus","IN","Public","Four or more years"
"2016","152318","Rose-Hulman Institute of Technology","IN","Private not-for-profit","Four or more years"
"2016","152363","Saint Josephs College","IN","Private not-for-profit","Four or more years"
"2016","152390","Saint Mary's College","IN","Private not-for-profit","Four or more years"
"2016","152381","Saint Mary-of-the-Woods College","IN","Private not-for-profit","Four or more years"
"2016","152451","Saint Meinrad School of Theology","IN","Private not-for-profit","Four or more years"
"2016","152530","Taylor University","IN","Private not-for-profit","Four or more years"
"2016","448345","The Art Institute of Indianapolis","IN","Private for-profit","Four or more years"
"2016","152567","Trine University","IN","Private not-for-profit","Four or more years"
"2016","414878","Trine University-Regional/Non-Traditional Campuses","IN","Private not-for-profit","Four or more years"
"2016","150534","University of Evansville","IN","Private not-for-profit","Four or more years"
"2016","151263","University of Indianapolis","IN","Private not-for-profit","Four or more years"
"2016","152080","University of Notre Dame","IN","Private not-for-profit","Four or more years"
"2016","443544","University of Phoenix-Indiana","IN","Private for-profit","Four or more years"
"2016","152336","University of Saint Francis-Fort Wayne","IN","Private not-for-profit","Four or more years"
"2016","151306","University of Southern Indiana","IN","Public","Four or more years"
"2016","152600","Valparaiso University","IN","Private not-for-profit","Four or more years"
"2016","152637","Vincennes University","IN","Public","Four or more years"
"2016","152673","Wabash College","IN","Private not-for-profit","Four or more years"
"2015","449889","American College of Education","IN","Private for-profit","Four or more years"
"2015","151865","Anabaptist Mennonite Biblical Seminary","IN","Private not-for-profit","Four or more years"
"2015","150066","Anderson University","IN","Private not-for-profit","Four or more years"
"2015","150136","Ball State University","IN","Public","Four or more years"
"2015","143233","Bethany Theological Seminary","IN","Private not-for-profit","Four or more years"
"2015","150145","Bethel College-Indiana","IN","Private not-for-profit","Four or more years"
"2015","408039","Brown Mackie College-Fort Wayne","IN","Private for-profit","Four or more years"
"2015","451699","Brown Mackie College-Indianapolis","IN","Private for-profit","Four or more years"
"2015","151616","Brown Mackie College-Merrillville","IN","Private for-profit","Four or more years"
"2015","151625","Brown Mackie College-Michigan City","IN","Private for-profit","Four or more years"
"2015","151944","Brown Mackie College-South Bend","IN","Private for-profit","Four or more years"
"2015","150163","Butler University","IN","Private not-for-profit","Four or more years"
"2015","150172","Calumet College of Saint Joseph","IN","Private not-for-profit","Four or more years"
"2015","475741","Chamberlain College of Nursing-Indiana","IN","Private for-profit","Four or more years"
"2015","150215","Christian Theological Seminary","IN","Private not-for-profit","Four or more years"
"2015","150288","Concordia Theological Seminary","IN","Private not-for-profit","Four or more years"
"2015","439613","Crossroads Bible College","IN","Private not-for-profit","Four or more years"
"2015","150400","DePauw University","IN","Private not-for-profit","Four or more years"
"2015","482486","DeVry University-Indiana","IN","Private for-profit","Four or more years"
"2015","150455","Earlham College","IN","Private not-for-profit","Four or more years"
"2015","150604","Franklin College","IN","Private not-for-profit","Four or more years"
"2015","150668","Goshen College","IN","Private not-for-profit","Four or more years"
"2015","150677","Grace College and Theological Seminary","IN","Private not-for-profit","Four or more years"
"2015","150756","Hanover College","IN","Private not-for-profit","Four or more years"
"2015","151166","Harrison College-Indianapolis","IN","Private for-profit","Four or more years"
"2015","150774","Holy Cross College","IN","Private not-for-profit","Four or more years"
"2015","150941","Huntington University","IN","Private not-for-profit","Four or more years"
"2015","151290","Indiana Institute of Technology","IN","Private not-for-profit","Four or more years"
"2015","151324","Indiana State University","IN","Public","Four or more years"
"2015","151351","Indiana University-Bloomington","IN","Public","Four or more years"
"2015","151388","Indiana University-East","IN","Public","Four or more years"
"2015","151333","Indiana University-Kokomo","IN","Public","Four or more years"
"2015","151360","Indiana University-Northwest","IN","Public","Four or more years"
"2015","151102","Indiana University-Purdue University-Fort Wayne","IN","Public","Four or more years"
"2015","151111","Indiana University-Purdue University-Indianapolis","IN","Public","Four or more years"
"2015","151342","Indiana University-South Bend","IN","Public","Four or more years"
"2015","151379","Indiana University-Southeast","IN","Public","Four or more years"
"2015","151801","Indiana Wesleyan University-Marion","IN","Private not-for-profit","Four or more years"
"2015","151458","International Business College-Fort Wayne","IN","Private for-profit","Four or more years"
"2015","151485","ITT Educational Services Inc-System Office","IN","Private for-profit","Four or more years"
"2015","151500","ITT Technical Institute-Fort Wayne","IN","Private for-profit","Four or more years"
"2015","479628","ITT Technical Institute-Indianapolis East","IN","Private for-profit","Four or more years"
"2015","151519","ITT Technical Institute-Indianapolis","IN","Private for-profit","Four or more years"
"2015","459587","ITT Technical Institute-Merrillville","IN","Private for-profit","Four or more years"
"2015","251251","ITT Technical Institute-Newburgh","IN","Private for-profit","Four or more years"
"2015","450270","ITT Technical Institute-South Bend","IN","Private for-profit","Four or more years"
"2015","151777","Manchester University","IN","Private not-for-profit","Four or more years"
"2015","151786","Marian University","IN","Private not-for-profit","Four or more years"
"2015","151810","Martin University","IN","Private not-for-profit","Four or more years"
"2015","151962","Mid-America College of Funeral Service","IN","Private not-for-profit","Four or more years"
"2015","482370","National American University-Indianapolis","IN","Private for-profit","Four or more years"
"2015","152099","Oakland City University","IN","Private not-for-profit","Four or more years"
"2015","442897","Ottawa University-Jeffersonville","IN","Private not-for-profit","Four or more years"
"2015","152248","Purdue University-Calumet Campus","IN","Public","Four or more years"
"2015","243780","Purdue University-Main Campus","IN","Public","Four or more years"
"2015","152266","Purdue University-North Central Campus","IN","Public","Four or more years"
"2015","152318","Rose-Hulman Institute of Technology","IN","Private not-for-profit","Four or more years"
"2015","152363","Saint Josephs College","IN","Private not-for-profit","Four or more years"
"2015","152390","Saint Mary's College","IN","Private not-for-profit","Four or more years"
"2015","152381","Saint Mary-of-the-Woods College","IN","Private not-for-profit","Four or more years"
"2015","152451","Saint Meinrad School of Theology","IN","Private not-for-profit","Four or more years"
"2015","152530","Taylor University","IN","Private not-for-profit","Four or more years"
