year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","172866","Academy College","MN","10","37900","28400","","33500","","16000","53700","","Suppressed data","40900","Suppressed data","","50900","30300","30000","42500"
"2014","172866","Academy College","MN","8","33100","28900","","26400","","15000","44300","","","","","","","","",""
"2014","172866","Academy College","MN","6","31300","20800","","29000","","15300","44000","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","25700","35500"
"2014","172918","Alexandria Technical & Community College","MN","10","40200","23900","","38500","","24300","53800","","34600","41300","44900","","42100","34000","28700","48500"
"2014","172918","Alexandria Technical & Community College","MN","8","39800","22400","","38100","","25600","51000","","","","","","","","",""
"2014","172918","Alexandria Technical & Community College","MN","6","36900","20600","","35400","","23800","48300","","32500","38300","39800","","37000","36600","28600","41900"
"2014","446002","American Academy of Acupuncture and Oriental Medicine","MN","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","446002","American Academy of Acupuncture and Oriental Medicine","MN","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","446002","American Academy of Acupuncture and Oriental Medicine","MN","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","172927","American Indian OIC Inc","MN","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","172927","American Indian OIC Inc","MN","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","172927","American Indian OIC Inc","MN","6","15800","11700","","13100","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","172954","Anoka Technical College","MN","10","42700","24400","","40400","","26200","56600","","36800","44600","47000","","44100","41700","37200","50400"
"2014","172954","Anoka Technical College","MN","8","38600","22800","","36400","","24000","50600","","","","","","","","",""
"2014","172954","Anoka Technical College","MN","6","36000","20100","","35100","","22300","47500","","31700","38900","38500","","36500","35600","32300","40500"
"2014","172963","Anoka-Ramsey Community College","MN","10","41200","25800","","38100","","23400","54800","","35900","42800","44300","","40900","41700","38000","47500"
"2014","172963","Anoka-Ramsey Community College","MN","8","38800","24600","","36100","","22900","51400","","","","","","","","",""
"2014","172963","Anoka-Ramsey Community College","MN","6","34800","21800","","32400","","19900","46100","","29700","37000","37200","","32900","37600","32800","37600"
"2014","173984","Argosy University-Twin Cities","MN","10","45700","34300","","41400","","24400","60300","","43800","44400","50500","","41200","47700","43100","55200"
"2014","173984","Argosy University-Twin Cities","MN","8","40800","29400","","37200","","23000","52900","","","","","","","","",""
"2014","173984","Argosy University-Twin Cities","MN","6","34100","26000","","30300","","15600","46300","","28000","37400","46100","","32100","34700","32500","39400"
"2014","173045","Augsburg College","MN","10","53200","38000","","46800","","31400","65900","","46100","52600","56800","","50700","57500","48200","59800"
"2014","173045","Augsburg College","MN","8","50100","36500","","44100","","29500","63500","","","","","","","","",""
"2014","173045","Augsburg College","MN","6","41500","27200","","38200","","24600","52300","","36400","42300","43600","","38700","47700","39700","43500"
"2014","173744","Aveda Institute-Minneapolis","MN","10","33000","22100","","30100","","16500","45400","","31500","35400","32100","","32300","34700","Suppressed data","Suppressed data"
"2014","173744","Aveda Institute-Minneapolis","MN","8","31000","21800","","27100","","15400","41900","","","","","","","","",""
"2014","173744","Aveda Institute-Minneapolis","MN","6","28800","20500","","26400","","15300","37200","","27900","28500","29600","","28700","28900","Suppressed data","Suppressed data"
