year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","238193","Alverno College","WI","10","40900","24800","","38800","","24000","54600","","34500","42900","47100","","40300","41500","Suppressed data","Suppressed data"
"2014","238193","Alverno College","WI","8","40500","22900","","40100","","23800","54700","","","","","","","","",""
"2014","238193","Alverno College","WI","6","38600","24400","","36700","","23400","52800","","35100","36500","45400","","37300","40400","Suppressed data","Suppressed data"
"2014","470092","Art Institute of Wisconsin (The)","WI","10","31400","20300","","29400","","16900","42500","","29300","33100","35300","","30800","31900","27100","37200"
"2014","470092","Art Institute of Wisconsin (The)","WI","8","34900","23500","","31900","","18500","46600","","","","","","","","",""
"2014","470092","Art Institute of Wisconsin (The)","WI","6","27900","19200","","25800","","14300","37900","","25200","30200","32000","","26500","29100","26600","29800"
"2014","238324","Bellin College","WI","10","62100","27200","","58600","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","238324","Bellin College","WI","8","58300","32700","","55900","","42400","66400","","","","","","","","",""
"2014","238324","Bellin College","WI","6","54700","18200","","55600","","44000","63200","","Suppressed data","Suppressed data","53700","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","238333","Beloit College","WI","10","47700","38000","","42400","","28000","58300","","Suppressed data","Suppressed data","51600","","Suppressed data","Suppressed data","42200","54800"
"2014","238333","Beloit College","WI","8","36900","24500","","33800","","20700","49100","","","","","","","","",""
"2014","238333","Beloit College","WI","6","37200","56900","","32100","","19300","44800","","Suppressed data","Suppressed data","34300","","Suppressed data","Suppressed data","30600","44400"
"2014","458502","Bryant and Stratton College-Glendale","WI","10","26600","20200","","24100","","12100","36800","","23900","32900","40900","","26300","26800","25400","30500"
"2014","458502","Bryant and Stratton College-Glendale","WI","8","26400","22300","","23600","","12400","36000","","","","","","","","",""
"2014","458502","Bryant and Stratton College-Glendale","WI","6","23600","17600","","21200","","10800","32600","","20500","30800","31700","","22200","24200","23100","25000"
"2014","239929","Bryant and Stratton College-Milwaukee","WI","10","26600","20200","","24100","","12100","36800","","23900","32900","40900","","26300","26800","25400","30500"
"2014","239929","Bryant and Stratton College-Milwaukee","WI","8","26400","22300","","23600","","12400","36000","","","","","","","","",""
"2014","239929","Bryant and Stratton College-Milwaukee","WI","6","23600","17600","","21200","","10800","32600","","20500","30800","31700","","22200","24200","23100","25000"
"2014","451750","Bryant and Stratton College-Wauwatosa","WI","10","26600","20200","","24100","","12100","36800","","23900","32900","40900","","26300","26800","25400","30500"
"2014","451750","Bryant and Stratton College-Wauwatosa","WI","8","26400","22300","","23600","","12400","36000","","","","","","","","",""
"2014","451750","Bryant and Stratton College-Wauwatosa","WI","6","23600","17600","","21200","","10800","32600","","20500","30800","31700","","22200","24200","23100","25000"
"2014","238430","Cardinal Stritch University","WI","10","55400","52200","","48500","","31400","69400","","39200","54900","66800","","49600","56900","50200","67900"
"2014","238430","Cardinal Stritch University","WI","8","52500","33400","","47700","","31600","67700","","","","","","","","",""
"2014","238430","Cardinal Stritch University","WI","6","46400","29100","","43000","","26600","60700","","33700","48000","55800","","37400","49600","42700","53900"
"2014","238458","Carroll University","WI","10","47000","26500","","44200","","30100","61800","","41400","47600","48400","","47100","46100","44600","51700"
"2014","238458","Carroll University","WI","8","44100","26600","","39900","","29000","56000","","","","","","","","",""
"2014","238458","Carroll University","WI","6","40200","19600","","38600","","26900","52100","","36300","39400","41600","","40100","41400","39500","41700"
"2014","238476","Carthage College","WI","10","50100","37100","","44700","","29300","61700","","40300","48700","52800","","50700","46300","44400","57800"
"2014","238476","Carthage College","WI","8","44600","26800","","40700","","28500","55100","","","","","","","","",""
"2014","238476","Carthage College","WI","6","38900","24000","","37000","","24300","48600","","35600","37600","40200","","38400","41800","35900","41900"
"2014","413617","College of Menominee Nation","WI","10","23500","17000","","20000","","10400","34300","","21000","Suppressed data","Suppressed data","","26100","22800","23400","23900"
"2014","413617","College of Menominee Nation","WI","8","19800","14400","","18900","","7200","30100","","","","","","","","",""
"2014","413617","College of Menominee Nation","WI","6","18300","15100","","15300","","5800","27500","","17700","Suppressed data","Suppressed data","","17900","18500","18100","18600"
"2014","238616","Concordia University-Wisconsin","WI","10","47300","35900","","42800","","27500","60500","","37300","48500","52500","","45800","48600","42900","54900"
"2014","238616","Concordia University-Wisconsin","WI","8","44600","26500","","41300","","27300","57400","","","","","","","","",""
