year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","238193","Alverno College","WI","Private not-for-profit","Four or more years"
"2016","238324","Bellin College","WI","Private not-for-profit","Four or more years"
"2016","238333","Beloit College","WI","Private not-for-profit","Four or more years"
"2016","458502","Bryant & Stratton College-Bayshore","WI","Private for-profit","Four or more years"
"2016","239929","Bryant & Stratton College-Milwaukee","WI","Private for-profit","Four or more years"
"2016","451750","Bryant & Stratton College-Wauwatosa","WI","Private for-profit","Four or more years"
"2016","238430","Cardinal Stritch University","WI","Private not-for-profit","Four or more years"
"2016","238458","Carroll University","WI","Private not-for-profit","Four or more years"
"2016","238476","Carthage College","WI","Private not-for-profit","Four or more years"
"2016","413617","College of Menominee Nation","WI","Private not-for-profit","Four or more years"
"2016","238573","Columbia College of Nursing","WI","Private not-for-profit","Four or more years"
"2016","238616","Concordia University-Wisconsin","WI","Private not-for-profit","Four or more years"
"2016","482671","DeVry University-Wisconsin","WI","Private for-profit","Four or more years"
"2016","238661","Edgewood College","WI","Private not-for-profit","Four or more years"
"2016","466514","Globe University-Appleton","WI","Private for-profit","Four or more years"
"2016","456816","Globe University-Eau Claire","WI","Private for-profit","Four or more years"
"2016","458991","Globe University-La Crosse","WI","Private for-profit","Four or more years"
"2016","458733","Globe University-Madison East","WI","Private for-profit","Four or more years"
"2016","458751","Globe UniversityGreen Bay","WI","Private for-profit","Four or more years"
"2016","458760","Globe UniversityMadison West","WI","Private for-profit","Four or more years"
"2016","458779","Globe UniversityWausau","WI","Private for-profit","Four or more years"
"2016","459851","Herzing University-Brookfield","WI","Private for-profit","Four or more years"
"2016","459842","Herzing University-Kenosha","WI","Private for-profit","Four or more years"
"2016","240392","Herzing University-Madison","WI","Private for-profit","Four or more years"
"2016","440165","ITT Technical Institute-Green Bay","WI","Private for-profit","Four or more years"
"2016","238892","ITT Technical Institute-Greenfield","WI","Private for-profit","Four or more years"
"2016","451981","ITT Technical Institute-Madison","WI","Private for-profit","Four or more years"
"2016","489788","Kaplan University-Milwaukee","WI","Private for-profit","Four or more years"
"2016","238980","Lakeland University","WI","Private not-for-profit","Four or more years"
"2016","239017","Lawrence University","WI","Private not-for-profit","Four or more years"
"2016","238263","Madison Area Technical College","WI","Public","Four or more years"
"2016","364168","Madison Media Institute","WI","Private for-profit","Four or more years"
"2016","239071","Maranatha Baptist University","WI","Private not-for-profit","Four or more years"
"2016","239080","Marian University","WI","Private not-for-profit","Four or more years"
"2016","239105","Marquette University","WI","Private not-for-profit","Four or more years"
"2016","239169","Medical College of Wisconsin","WI","Private not-for-profit","Four or more years"
"2016","383020","Midwest College of Oriental Medicine-Racine","WI","Private for-profit","Four or more years"
"2016","239309","Milwaukee Institute of Art & Design","WI","Private not-for-profit","Four or more years"
"2016","239318","Milwaukee School of Engineering","WI","Private not-for-profit","Four or more years"
"2016","436021","Montessori Institute of Milwaukee","WI","Private not-for-profit","Four or more years"
"2016","239390","Mount Mary University","WI","Private not-for-profit","Four or more years"
"2016","239424","Nashotah House","WI","Private not-for-profit","Four or more years"
"2016","239512","Northland College","WI","Private not-for-profit","Four or more years"
"2016","428259","Ottawa University-Milwaukee","WI","Private not-for-profit","Four or more years"
"2016","450571","Rasmussen College-Wisconsin","WI","Private for-profit","Four or more years"
"2016","239628","Ripon College","WI","Private not-for-profit","Four or more years"
"2016","239637","Sacred Heart Seminary and School of Theology","WI","Private not-for-profit","Four or more years"
"2016","239716","Saint Norbert College","WI","Private not-for-profit","Four or more years"
"2016","239743","Silver Lake College of the Holy Family","WI","Private not-for-profit","Four or more years"
"2016","470092","The Art Institute of Wisconsin","WI","Private for-profit","Four or more years"
"2016","440457","University of Phoenix-Wisconsin","WI","Private for-profit","Four or more years"
"2016","240055","University of Wisconsin Colleges","WI","Public","Four or more years"
"2016","260381","University of Wisconsin Extension","WI","Public","Four or more years"
"2016","240268","University of Wisconsin-Eau Claire","WI","Public","Four or more years"
"2016","240277","University of Wisconsin-Green Bay","WI","Public","Four or more years"
"2016","240329","University of Wisconsin-La Crosse","WI","Public","Four or more years"
"2016","240444","University of Wisconsin-Madison","WI","Public","Four or more years"
"2016","240453","University of Wisconsin-Milwaukee","WI","Public","Four or more years"
"2016","240365","University of Wisconsin-Oshkosh","WI","Public","Four or more years"
"2016","240374","University of Wisconsin-Parkside","WI","Public","Four or more years"
"2016","240462","University of Wisconsin-Platteville","WI","Public","Four or more years"
"2016","240471","University of Wisconsin-River Falls","WI","Public","Four or more years"
"2016","240480","University of Wisconsin-Stevens Point","WI","Public","Four or more years"
"2016","240417","University of Wisconsin-Stout","WI","Public","Four or more years"
"2016","240426","University of Wisconsin-Superior","WI","Public","Four or more years"
"2016","240435","University of Wisconsin-System Administration","WI","Public","Four or more years"
"2016","240189","University of Wisconsin-Whitewater","WI","Public","Four or more years"
"2016","240107","Viterbo University","WI","Private not-for-profit","Four or more years"
"2016","240338","Wisconsin Lutheran College","WI","Private not-for-profit","Four or more years"
"2016","240213","Wisconsin School of Professional Psychology","WI","Private not-for-profit","Four or more years"
"2016","486460","Wright Graduate University for the Realization of Human Potential","WI","Private not-for-profit","Four or more years"
"2015","238193","Alverno College","WI","Private not-for-profit","Four or more years"
"2015","238324","Bellin College","WI","Private not-for-profit","Four or more years"
"2015","238333","Beloit College","WI","Private not-for-profit","Four or more years"
"2015","458502","Bryant & Stratton College-Bayshore","WI","Private for-profit","Four or more years"
"2015","239929","Bryant & Stratton College-Milwaukee","WI","Private for-profit","Four or more years"
"2015","451750","Bryant & Stratton College-Wauwatosa","WI","Private for-profit","Four or more years"
"2015","238430","Cardinal Stritch University","WI","Private not-for-profit","Four or more years"
"2015","238458","Carroll University","WI","Private not-for-profit","Four or more years"
"2015","238476","Carthage College","WI","Private not-for-profit","Four or more years"
"2015","413617","College of Menominee Nation","WI","Private not-for-profit","Four or more years"
"2015","238573","Columbia College of Nursing","WI","Private not-for-profit","Four or more years"
"2015","238616","Concordia University-Wisconsin","WI","Private not-for-profit","Four or more years"
"2015","482671","DeVry University-Wisconsin","WI","Private for-profit","Four or more years"
"2015","238661","Edgewood College","WI","Private not-for-profit","Four or more years"
"2015","466514","Globe University-Appleton","WI","Private for-profit","Four or more years"
"2015","456816","Globe University-Eau Claire","WI","Private for-profit","Four or more years"
"2015","458991","Globe University-La Crosse","WI","Private for-profit","Four or more years"
"2015","458733","Globe University-Madison East","WI","Private for-profit","Four or more years"
"2015","458751","Globe UniversityGreen Bay","WI","Private for-profit","Four or more years"
"2015","458760","Globe UniversityMadison West","WI","Private for-profit","Four or more years"
"2015","458779","Globe UniversityWausau","WI","Private for-profit","Four or more years"
"2015","459851","Herzing University-Brookfield","WI","Private for-profit","Four or more years"
"2015","459842","Herzing University-Kenosha","WI","Private for-profit","Four or more years"
"2015","240392","Herzing University-Madison","WI","Private for-profit","Four or more years"
"2015","479567","ITT Technical Institute-Germantown","WI","Private for-profit","Four or more years"
"2015","440165","ITT Technical Institute-Green Bay","WI","Private for-profit","Four or more years"
"2015","238892","ITT Technical Institute-Greenfield","WI","Private for-profit","Four or more years"
"2015","451981","ITT Technical Institute-Madison","WI","Private for-profit","Four or more years"
"2015","238980","Lakeland College","WI","Private not-for-profit","Four or more years"
"2015","239017","Lawrence University","WI","Private not-for-profit","Four or more years"
"2015","238263","Madison Area Technical College","WI","Public","Four or more years"
"2015","364168","Madison Media Institute","WI","Private for-profit","Four or more years"
"2015","239071","Maranatha Baptist University","WI","Private not-for-profit","Four or more years"
"2015","239080","Marian University","WI","Private not-for-profit","Four or more years"
"2015","239105","Marquette University","WI","Private not-for-profit","Four or more years"
"2015","239169","Medical College of Wisconsin","WI","Private not-for-profit","Four or more years"
"2015","383020","Midwest College of Oriental Medicine-Racine","WI","Private for-profit","Four or more years"
"2015","239309","Milwaukee Institute of Art & Design","WI","Private not-for-profit","Four or more years"
"2015","239318","Milwaukee School of Engineering","WI","Private not-for-profit","Four or more years"
"2015","436021","Montessori Institute of Milwaukee","WI","Private not-for-profit","Four or more years"
"2015","239390","Mount Mary University","WI","Private not-for-profit","Four or more years"
"2015","239424","Nashotah House","WI","Private not-for-profit","Four or more years"
"2015","239512","Northland College","WI","Private not-for-profit","Four or more years"
"2015","239503","Northland International University","WI","Private not-for-profit","Four or more years"
"2015","428259","Ottawa University-Milwaukee","WI","Private not-for-profit","Four or more years"
"2015","450571","Rasmussen College-Wisconsin","WI","Private for-profit","Four or more years"
"2015","239628","Ripon College","WI","Private not-for-profit","Four or more years"
"2015","239637","Sacred Heart School of Theology","WI","Private not-for-profit","Four or more years"
"2015","239716","Saint Norbert College","WI","Private not-for-profit","Four or more years"
"2015","239743","Silver Lake College of the Holy Family","WI","Private not-for-profit","Four or more years"
"2015","470092","The Art Institute of Wisconsin","WI","Private for-profit","Four or more years"
"2015","440457","University of Phoenix-Wisconsin","WI","Private for-profit","Four or more years"
"2015","260381","University of Wisconsin Extension","WI","Public","Four or more years"
"2015","240268","University of Wisconsin-Eau Claire","WI","Public","Four or more years"
"2015","240277","University of Wisconsin-Green Bay","WI","Public","Four or more years"
"2015","240329","University of Wisconsin-La Crosse","WI","Public","Four or more years"
"2015","240444","University of Wisconsin-Madison","WI","Public","Four or more years"
"2015","240453","University of Wisconsin-Milwaukee","WI","Public","Four or more years"
"2015","240365","University of Wisconsin-Oshkosh","WI","Public","Four or more years"
"2015","240374","University of Wisconsin-Parkside","WI","Public","Four or more years"
"2015","240462","University of Wisconsin-Platteville","WI","Public","Four or more years"
"2015","240471","University of Wisconsin-River Falls","WI","Public","Four or more years"
"2015","240480","University of Wisconsin-Stevens Point","WI","Public","Four or more years"
"2015","240417","University of Wisconsin-Stout","WI","Public","Four or more years"
"2015","240426","University of Wisconsin-Superior","WI","Public","Four or more years"
"2015","240435","University of Wisconsin-System Administration","WI","Public","Four or more years"
"2015","240189","University of Wisconsin-Whitewater","WI","Public","Four or more years"
"2015","240107","Viterbo University","WI","Private not-for-profit","Four or more years"
"2015","240338","Wisconsin Lutheran College","WI","Private not-for-profit","Four or more years"
"2015","240213","Wisconsin School of Professional Psychology","WI","Private not-for-profit","Four or more years"
"2015","486460","Wright Graduate University for the Realization of Human Potential","WI","Private not-for-profit","Four or more years"
"2014","238193","Alverno College","WI","Private not-for-profit","Four or more years"
"2014","238324","Bellin College","WI","Private not-for-profit","Four or more years"
"2014","238333","Beloit College","WI","Private not-for-profit","Four or more years"
"2014","458502","Bryant & Stratton College-Bayshore","WI","Private for-profit","Four or more years"
"2014","239929","Bryant & Stratton College-Milwaukee","WI","Private for-profit","Four or more years"
"2014","451750","Bryant & Stratton College-Wauwatosa","WI","Private for-profit","Four or more years"
"2014","238430","Cardinal Stritch University","WI","Private not-for-profit","Four or more years"
"2014","238458","Carroll University","WI","Private not-for-profit","Four or more years"
"2014","238476","Carthage College","WI","Private not-for-profit","Four or more years"
"2014","413617","College of Menominee Nation","WI","Private not-for-profit","Four or more years"
"2014","238573","Columbia College of Nursing","WI","Private not-for-profit","Four or more years"
"2014","238616","Concordia University-Wisconsin","WI","Private not-for-profit","Four or more years"
"2014","482671","DeVry University-Wisconsin","WI","Private for-profit","Four or more years"
"2014","238661","Edgewood College","WI","Private not-for-profit","Four or more years"
