year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","148849","Shimer College","IL","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","148849","Shimer College","IL","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","149222","Southern Illinois University Carbondale","IL","10","49500","40400","","42900","","27200","62600","","49700","48200","50400","","46200","57900","42000","55200"
"2014","149222","Southern Illinois University Carbondale","IL","8","43200","32300","","38400","","24100","55600","","","","","","","","",""
"2014","149222","Southern Illinois University Carbondale","IL","6","36700","23500","","33200","","20100","49100","","33500","36700","39500","","34900","42000","32300","40400"
"2014","149231","Southern Illinois University Edwardsville","IL","10","50800","41000","","43000","","28600","62700","","50400","49100","52500","","49000","56400","43400","60100"
"2014","149231","Southern Illinois University Edwardsville","IL","8","45200","31500","","39800","","27100","56700","","","","","","","","",""
"2014","149231","Southern Illinois University Edwardsville","IL","6","39600","25200","","36100","","23900","50600","","38500","38100","41200","","38400","44000","36300","43500"
"2014","148593","St Johns College","IL","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","148593","St Johns College","IL","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","148593","St Johns College","IL","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","149329","Telshe Yeshiva-Chicago","IL","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","149329","Telshe Yeshiva-Chicago","IL","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","149329","Telshe Yeshiva-Chicago","IL","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","148177","The Illinois Institute of Art-Chicago","IL","10","38200","27400","","34100","","19000","51500","","33500","39600","41500","","38000","38500","37100","39400"
