year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","142832","Adler University","IL","Private not-for-profit","Four or more years"
"2016","457527","Ambria College of Nursing","IL","Private for-profit","Four or more years"
"2016","142887","American Academy of Art","IL","Private not-for-profit","Four or more years"
"2016","445027","American InterContinental University-Online","IL","Private for-profit","Four or more years"
"2016","142957","American Islamic College","IL","Private not-for-profit","Four or more years"
"2016","145770","Argosy University-Chicago","IL","Private for-profit","Four or more years"
"2016","420866","Argosy University-Schaumburg","IL","Private for-profit","Four or more years"
"2016","143084","Augustana College","IL","Private not-for-profit","Four or more years"
"2016","143118","Aurora University","IL","Private not-for-profit","Four or more years"
"2016","145619","Benedictine University","IL","Private not-for-profit","Four or more years"
"2016","443702","Bexley Hall Seabury Western Theological Seminary Federation, Inc.","IL","Private not-for-profit","Four or more years"
"2016","143288","Blackburn College","IL","Private not-for-profit","Four or more years"
"2016","143297","Blessing Rieman College of Nursing and Health Sciences","IL","Private not-for-profit","Four or more years"
"2016","143358","Bradley University","IL","Private not-for-profit","Four or more years"
"2016","143659","Catholic Theological Union at Chicago","IL","Private not-for-profit","Four or more years"
"2016","454218","Chamberlain College of Nursing-Administrative Office","IL","Private for-profit","Four or more years"
"2016","454227","Chamberlain College of Nursing-Illinois","IL","Private for-profit","Four or more years"
"2016","144005","Chicago State University","IL","Public","Four or more years"
"2016","144014","Chicago Theological Seminary","IL","Private not-for-profit","Four or more years"
"2016","260947","Christian Life College","IL","Private not-for-profit","Four or more years"
"2016","144281","Columbia College Chicago","IL","Private not-for-profit","Four or more years"
"2016","144351","Concordia University-Chicago","IL","Private not-for-profit","Four or more years"
"2016","144740","DePaul University","IL","Private not-for-profit","Four or more years"
"2016","144777","DeVry University-Administrative Office","IL","Private for-profit","Four or more years"
"2016","482477","DeVry University-Illinois","IL","Private for-profit","Four or more years"
"2016","148496","Dominican University","IL","Private not-for-profit","Four or more years"
"2016","144883","East-West University","IL","Private not-for-profit","Four or more years"
"2016","144892","Eastern Illinois University","IL","Public","Four or more years"
"2016","144962","Elmhurst College","IL","Private not-for-profit","Four or more years"
"2016","409254","Erikson Institute","IL","Private not-for-profit","Four or more years"
"2016","144971","Eureka College","IL","Private not-for-profit","Four or more years"
"2016","145275","Garrett-Evangelical Theological Seminary","IL","Private not-for-profit","Four or more years"
"2016","145336","Governors State University","IL","Public","Four or more years"
"2016","145372","Greenville College","IL","Private not-for-profit","Four or more years"
"2016","145460","Harrington College of Design","IL","Private for-profit","Four or more years"
"2016","145497","Hebrew Theological College","IL","Private not-for-profit","Four or more years"
"2016","145628","Illinois College of Optometry","IL","Private not-for-profit","Four or more years"
"2016","145691","Illinois College","IL","Private not-for-profit","Four or more years"
