year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","156189","Alice Lloyd College","KY","Private not-for-profit","Four or more years"
"2016","157021","American National University-Lexington","KY","Private for-profit","Four or more years"
"2016","156222","Asbury Theological Seminary","KY","Private not-for-profit","Four or more years"
"2016","156213","Asbury University","KY","Private not-for-profit","Four or more years"
"2016","247065","Beckfield College-Florence","KY","Private for-profit","Four or more years"
"2016","156286","Bellarmine University","KY","Private not-for-profit","Four or more years"
"2016","156295","Berea College","KY","Private not-for-profit","Four or more years"
"2016","156356","Brescia University","KY","Private not-for-profit","Four or more years"
"2016","157599","Brown Mackie College-Louisville","KY","Private for-profit","Four or more years"
"2016","157696","Brown Mackie College-Northern Kentucky","KY","Private for-profit","Four or more years"
"2016","156365","Campbellsville University","KY","Private not-for-profit","Four or more years"
"2016","156408","Centre College","KY","Private not-for-profit","Four or more years"
"2016","156417","Clear Creek Baptist Bible College","KY","Private not-for-profit","Four or more years"
"2016","447476","Daymar College-Bellevue","KY","Private for-profit","Four or more years"
"2016","363439","Daymar College-Bowling Green","KY","Private for-profit","Four or more years"
"2016","460473","Daymar College-Louisville","KY","Private for-profit","Four or more years"
"2016","406219","Daymar College-Louisville","KY","Private for-profit","Four or more years"
"2016","458557","Daymar College-Online","KY","Private for-profit","Four or more years"
"2016","157465","Daymar College-Owensboro","KY","Private for-profit","Four or more years"
"2016","156620","Eastern Kentucky University","KY","Public","Four or more years"
"2016","156727","Frontier Nursing University","KY","Private not-for-profit","Four or more years"
"2016","156471","Galen College of Nursing-Louisville","KY","Private for-profit","Four or more years"
"2016","156745","Georgetown College","KY","Private not-for-profit","Four or more years"
"2016","448488","ITT Technical Institute-Lexington","KY","Private for-profit","Four or more years"
"2016","413857","ITT Technical Institute-Louisville","KY","Private for-profit","Four or more years"
"2016","157100","Kentucky Christian University","KY","Private not-for-profit","Four or more years"
"2016","157030","Kentucky Mountain Bible College","KY","Private not-for-profit","Four or more years"
"2016","157058","Kentucky State University","KY","Public","Four or more years"
"2016","157076","Kentucky Wesleyan College","KY","Private not-for-profit","Four or more years"
"2016","157207","Lexington Theological Seminary","KY","Private not-for-profit","Four or more years"
"2016","157216","Lindsey Wilson College","KY","Private not-for-profit","Four or more years"
"2016","157298","Louisville Presbyterian Theological Seminary","KY","Private not-for-profit","Four or more years"
"2016","157377","Midway University","KY","Private not-for-profit","Four or more years"
"2016","157386","Morehead State University","KY","Public","Four or more years"
"2016","157401","Murray State University","KY","Public","Four or more years"
