year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","156189","Alice Lloyd College","KY","10","41600","56100","","31700","","20100","44300","","47100","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","38800","45100"
"2014","156189","Alice Lloyd College","KY","8","37600","26500","","32700","","22000","44300","","","","","","","","",""
"2014","156189","Alice Lloyd College","KY","6","28400","19800","","25300","","15000","35700","","25000","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","23600","32800"
"2014","237127","Appalachian Beauty School","KY","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","237127","Appalachian Beauty School","KY","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","237127","Appalachian Beauty School","KY","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156222","Asbury Theological Seminary","KY","10","50200","32000","","44400","","27300","66400","","48800","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","41600","53900"
"2014","156222","Asbury Theological Seminary","KY","8","52000","28200","","48000","","32300","70000","","","","","","","","",""
"2014","156222","Asbury Theological Seminary","KY","6","43700","26100","","39000","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156213","Asbury University","KY","10","40700","33300","","34900","","22200","51100","","31500","43000","42100","","Suppressed data","Suppressed data","33200","49200"
"2014","156213","Asbury University","KY","8","34800","23100","","31500","","20000","43600","","","","","","","","",""
"2014","156213","Asbury University","KY","6","29300","19100","","28700","","16500","37900","","25800","29300","30900","","28000","33600","26500","33500"
"2014","156231","Ashland Community and Technical College","KY","10","31500","26500","","25600","","12600","43100","","29100","Suppressed data","Suppressed data","","34900","29400","25200","40700"
"2014","156231","Ashland Community and Technical College","KY","8","29000","29600","","24200","","11400","39600","","","","","","","","",""
"2014","156231","Ashland Community and Technical College","KY","6","26800","21600","","22800","","11900","34600","","23900","30800","33400","","28500","25300","21800","33200"
"2014","447935","ATA College","KY","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","447935","ATA College","KY","8","28800","16600","","28100","","16100","38900","","","","","","","","",""
"2014","447935","ATA College","KY","6","26200","16300","","25600","","14500","34900","","23200","30700","32100","","26700","26100","24700","37200"
"2014","156277","Barrett and Company School of Hair Design","KY","10","18100","11100","","16300","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156277","Barrett and Company School of Hair Design","KY","8","15200","11200","","14100","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","156277","Barrett and Company School of Hair Design","KY","6","13900","11000","","11500","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","247065","Beckfield College-Florence","KY","10","30100","21800","","26400","","13800","42200","","25000","34300","38500","","33400","29100","28300","35700"
"2014","247065","Beckfield College-Florence","KY","8","33800","22700","","31300","","16100","46900","","","","","","","","",""
"2014","247065","Beckfield College-Florence","KY","6","31500","21400","","29000","","16200","42500","","26400","36200","41100","","29100","32200","30600","34500"
"2014","156286","Bellarmine University","KY","10","50600","31600","","45700","","30700","65800","","49300","47800","53200","","48400","55800","48400","56000"
"2014","156286","Bellarmine University","KY","8","48400","27100","","45200","","30700","63500","","","","","","","","",""
"2014","156286","Bellarmine University","KY","6","43100","21700","","42200","","28300","56700","","41800","39200","46200","","41700","49800","44100","41100"
"2014","444422","Bellefonte Academy of Beauty","KY","10","19200","15800","","14600","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","444422","Bellefonte Academy of Beauty","KY","8","12900","12400","","11500","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","444422","Bellefonte Academy of Beauty","KY","6","13400","11200","","11500","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156295","Berea College","KY","10","36300","24300","","33700","","19500","46700","","Suppressed data","37100","Suppressed data","","36600","33400","35100","37800"
"2014","156295","Berea College","KY","8","32100","19200","","28800","","19100","40500","","","","","","","","",""
"2014","156295","Berea College","KY","6","27100","15600","","24600","","16500","34700","","25900","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","25300","29300"
"2014","157553","Big Sandy Community and Technical College","KY","10","28200","23100","","23000","","11800","38400","","26200","Suppressed data","Suppressed data","","30800","25200","22000","36800"
"2014","157553","Big Sandy Community and Technical College","KY","8","27900","21100","","23800","","11600","38300","","","","","","","","",""
"2014","157553","Big Sandy Community and Technical College","KY","6","25000","20100","","21300","","10100","34400","","23100","28000","34600","","26100","23500","21400","30200"
"2014","156392","Bluegrass Community and Technical College","KY","10","29800","20000","","28000","","13800","41300","","25300","37000","37900","","33500","28200","26700","34900"
"2014","156392","Bluegrass Community and Technical College","KY","8","31600","22900","","28600","","15600","42700","","","","","","","","",""
"2014","156392","Bluegrass Community and Technical College","KY","6","26700","18900","","23800","","12700","37100","","22800","30900","33000","","27400","26200","23700","31200"
"2014","156338","Bowling Green Technical College","KY","10","32800","21800","","30300","","16700","45600","","29600","Suppressed data","Suppressed data","","34000","32100","27400","39000"
"2014","156338","Bowling Green Technical College","KY","8","30700","21200","","27900","","14400","42900","","","","","","","","",""
"2014","156338","Bowling Green Technical College","KY","6","28100","19500","","24900","","13600","39100","","24200","33800","34100","","28900","27700","24000","33200"
"2014","156356","Brescia University","KY","10","48000","40200","","40100","","28600","56400","","Suppressed data","Suppressed data","52800","","Suppressed data","Suppressed data","44500","53100"
"2014","156356","Brescia University","KY","8","35300","21500","","32400","","21800","48000","","","","","","","","",""
"2014","156356","Brescia University","KY","6","30800","19400","","29700","","18000","39700","","29300","30900","32200","","30300","31600","27300","35900"
"2014","442976","Brighton Center's Center for Employment Training","KY","10","16300","13300","","14400","","4600","25300","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","442976","Brighton Center's Center for Employment Training","KY","8","17000","12700","","13100","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","442976","Brighton Center's Center for Employment Training","KY","6","15000","11100","","12700","","6400","21800","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","421513","Brown Mackie College-Hopkinsville","KY","10","31400","20300","","29400","","16900","42500","","29300","33100","35300","","30800","31900","27100","37200"
"2014","421513","Brown Mackie College-Hopkinsville","KY","8","34900","23500","","31900","","18500","46600","","","","","","","","",""
"2014","421513","Brown Mackie College-Hopkinsville","KY","6","27900","19200","","25800","","14300","37900","","25200","30200","32000","","26500","29100","26600","29800"
"2014","157599","Brown Mackie College-Louisville","KY","10","31400","20300","","29400","","16900","42500","","29300","33100","35300","","30800","31900","27100","37200"
"2014","157599","Brown Mackie College-Louisville","KY","8","34900","23500","","31900","","18500","46600","","","","","","","","",""
"2014","157599","Brown Mackie College-Louisville","KY","6","27900","19200","","25800","","14300","37900","","25200","30200","32000","","26500","29100","26600","29800"
"2014","157696","Brown Mackie College-Northern Kentucky","KY","10","31400","20300","","29400","","16900","42500","","29300","33100","35300","","30800","31900","27100","37200"
"2014","157696","Brown Mackie College-Northern Kentucky","KY","8","34900","23500","","31900","","18500","46600","","","","","","","","",""
"2014","157696","Brown Mackie College-Northern Kentucky","KY","6","27900","19200","","25800","","14300","37900","","25200","30200","32000","","26500","29100","26600","29800"
"2014","156365","Campbellsville University","KY","10","35400","22500","","33700","","20300","44800","","31900","35800","39400","","37000","31200","28100","41500"
"2014","156365","Campbellsville University","KY","8","30500","20800","","27300","","16500","40600","","","","","","","","",""
"2014","156365","Campbellsville University","KY","6","28700","16500","","27300","","17500","37300","","25700","30200","31700","","28900","28200","27300","29800"
"2014","156408","Centre College","KY","10","53800","41000","","45500","","32300","65700","","Suppressed data","Suppressed data","57600","","Suppressed data","Suppressed data","47000","60300"
"2014","156408","Centre College","KY","8","50100","30700","","43000","","31400","63800","","","","","","","","",""
"2014","156408","Centre College","KY","6","38500","26600","","35100","","21400","48900","","Suppressed data","Suppressed data","40000","","Suppressed data","Suppressed data","33400","42900"
"2014","156417","Clear Creek Baptist Bible College","KY","10","31000","18300","","26300","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156417","Clear Creek Baptist Bible College","KY","8","31300","21800","","28100","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","156417","Clear Creek Baptist Bible College","KY","6","28900","18600","","25800","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156444","Collins School of Cosmetology","KY","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","156444","Collins School of Cosmetology","KY","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","156444","Collins School of Cosmetology","KY","6","15200","10500","","12800","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","447476","Daymar College-Bellevue","KY","10","25400","18700","","22600","","12500","34700","","23000","Suppressed data","Suppressed data","","26200","25300","22700","37800"
