year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","154642","Allen County Community College","KS","10","34900","25800","","32200","","18400","46500","","29800","37400","43800","","36600","32500","30800","41300"
"2014","154642","Allen County Community College","KS","8","33100","25900","","29900","","15700","43300","","","","","","","","",""
"2014","154642","Allen County Community College","KS","6","28000","18600","","25900","","15700","37000","","25400","29300","32300","","27500","28500","26100","31500"
"2014","154970","B Street Design School of International Hair Styling-Manhattan","KS","10","21900","15400","","19700","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","154970","B Street Design School of International Hair Styling-Manhattan","KS","8","19300","13500","","19200","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","154970","B Street Design School of International Hair Styling-Manhattan","KS","6","16400","12300","","14900","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","439589","B Street Design School of International Hair Styling-Topeka","KS","10","22000","20100","","18200","","9500","29600","","22100","Suppressed data","Suppressed data","","25700","19800","Suppressed data","Suppressed data"
"2014","439589","B Street Design School of International Hair Styling-Topeka","KS","8","21700","14300","","20900","","9600","30300","","","","","","","","",""
"2014","439589","B Street Design School of International Hair Styling-Topeka","KS","6","20500","15000","","19400","","8800","29000","","18200","22900","25000","","21900","19700","Suppressed data","Suppressed data"
"2014","154688","Baker University","KS","10","59500","52800","","51300","","33900","73900","","45800","57200","67600","","52800","64600","52500","69300"
"2014","154688","Baker University","KS","8","51400","37600","","46900","","31200","64000","","","","","","","","",""
"2014","154688","Baker University","KS","6","48500","34900","","43600","","31200","59000","","38300","47700","53900","","39300","55600","44700","54300"
"2014","155070","Barclay College","KS","10","32500","25700","","33900","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","155070","Barclay College","KS","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","155070","Barclay College","KS","6","29600","19100","","25200","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","154697","Barton County Community College","KS","10","35500","28100","","31300","","18200","45500","","33700","34800","43500","","35400","35600","31800","41400"
"2014","154697","Barton County Community College","KS","8","33400","20700","","30900","","18700","44900","","","","","","","","",""
"2014","154697","Barton County Community College","KS","6","29400","20100","","26200","","14700","39000","","24500","32600","34700","","28400","30600","26000","34200"
"2014","478953","Bellus Academy","KS","10","30400","25700","","25900","","11300","42500","","28000","Suppressed data","Suppressed data","","27100","31900","Suppressed data","Suppressed data"
"2014","478953","Bellus Academy","KS","8","28700","20700","","24600","","13200","42700","","","","","","","","",""
"2014","478953","Bellus Academy","KS","6","23700","19600","","18800","","9800","34700","","21900","24000","27600","","22500","24500","Suppressed data","Suppressed data"
"2014","154712","Benedictine College","KS","10","45000","32900","","40100","","25200","57300","","37200","47600","46500","","Suppressed data","Suppressed data","37900","50700"
"2014","154712","Benedictine College","KS","8","39900","26700","","36800","","23800","50100","","","","","","","","",""
"2014","154712","Benedictine College","KS","6","35500","20400","","32700","","22100","44900","","32400","34700","36400","","Suppressed data","Suppressed data","32100","38600"
"2014","154721","Bethany College","KS","10","45100","31200","","40200","","28300","55000","","41100","43200","49300","","Suppressed data","Suppressed data","38500","49500"
"2014","154721","Bethany College","KS","8","37400","24300","","34200","","23300","46200","","","","","","","","",""
"2014","154721","Bethany College","KS","6","32100","20800","","30400","","19600","40400","","31300","31300","33300","","Suppressed data","Suppressed data","31200","32700"
"2014","154749","Bethel College-North Newton","KS","10","45600","29500","","40800","","29500","57700","","49800","41800","46000","","43600","52700","45400","45800"
"2014","154749","Bethel College-North Newton","KS","8","40600","22900","","38300","","26500","51300","","","","","","","","",""
"2014","154749","Bethel College-North Newton","KS","6","36600","22300","","33200","","21900","45800","","Suppressed data","Suppressed data","36100","","Suppressed data","Suppressed data","34500","38500"
"2014","154767","Brown Mackie College-Kansas City","KS","10","27600","18700","","24700","","14600","37300","","24300","32600","32200","","28800","27100","25600","32300"
"2014","154767","Brown Mackie College-Kansas City","KS","8","29800","19600","","27600","","15400","40700","","","","","","","","",""
"2014","154767","Brown Mackie College-Kansas City","KS","6","30400","20900","","27900","","15100","42400","","25200","36100","36700","","25100","31900","30100","31500"
"2014","154776","Brown Mackie College-Salina","KS","10","27600","18700","","24700","","14600","37300","","24300","32600","32200","","28800","27100","25600","32300"
"2014","154776","Brown Mackie College-Salina","KS","8","29800","19600","","27600","","15400","40700","","","","","","","","",""
"2014","154776","Brown Mackie College-Salina","KS","6","30400","20900","","27900","","15100","42400","","25200","36100","36700","","25100","31900","30100","31500"
"2014","154794","Bryan College-Topeka","KS","10","25800","19400","","22100","","12000","33900","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","21600","37600"
