year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","154688","Baker University","KS","Private not-for-profit","Four or more years"
"2016","155070","Barclay College","KS","Private not-for-profit","Four or more years"
"2016","154712","Benedictine College","KS","Private not-for-profit","Four or more years"
"2016","154721","Bethany College","KS","Private not-for-profit","Four or more years"
"2016","154749","Bethel College-North Newton","KS","Private not-for-profit","Four or more years"
"2016","154776","Brown Mackie College-Salina","KS","Private for-profit","Four or more years"
"2016","154837","Central Baptist Theological Seminary","KS","Private not-for-profit","Four or more years"
"2016","154855","Central Christian College of Kansas","KS","Private not-for-profit","Four or more years"
"2016","177038","Cleveland University-Kansas City","KS","Private not-for-profit","Four or more years"
"2016","155007","Donnelly College","KS","Private not-for-profit","Four or more years"
"2016","155025","Emporia State University","KS","Public","Four or more years"
"2016","155061","Fort Hays State University","KS","Public","Four or more years"
"2016","155089","Friends University","KS","Private not-for-profit","Four or more years"
"2016","442569","Grantham University","KS","Private for-profit","Four or more years"
"2016","155140","Haskell Indian Nations University","KS","Public","Four or more years"
"2016","155177","Hesston College","KS","Private not-for-profit","Four or more years"
"2016","479646","ITT Technical Institute-Overland Park","KS","Private for-profit","Four or more years"
"2016","450234","ITT Technical Institute-Wichita","KS","Private for-profit","Four or more years"
"2016","155308","Kansas Christian College","KS","Private not-for-profit","Four or more years"
"2016","155399","Kansas State University","KS","Public","Four or more years"
"2016","155414","Kansas Wesleyan University","KS","Private not-for-profit","Four or more years"
"2016","155496","Manhattan Christian College","KS","Private not-for-profit","Four or more years"
"2016","155511","McPherson College","KS","Private not-for-profit","Four or more years"
"2016","155520","MidAmerica Nazarene University","KS","Private not-for-profit","Four or more years"
"2016","442718","National American University-Overland Park","KS","Private for-profit","Four or more years"
"2016","482361","National American University-Wichita West","KS","Private for-profit","Four or more years"
"2016","451884","National American University-Wichita","KS","Private for-profit","Four or more years"
"2016","155335","Newman University","KS","Private not-for-profit","Four or more years"
