year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","177834","A T Still University of Health Sciences","MO","10","213500","141600","","193400","","89500","250000","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","174500","234600"
"2014","177834","A T Still University of Health Sciences","MO","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","177834","A T Still University of Health Sciences","MO","6","123700","78800","","99000","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","451334","Academy of Hair Design","MO","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","451334","Academy of Hair Design","MO","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","451334","Academy of Hair Design","MO","6","16700","14000","","13600","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","179229","American College of Hair Design Inc","MO","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","179229","American College of Hair Design Inc","MO","8","20200","17400","","14800","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","179229","American College of Hair Design Inc","MO","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","417716","Applied Technology Services","MO","10","43000","26400","","42600","","27500","55700","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","417716","Applied Technology Services","MO","8","41600","24400","","39300","","24200","55100","","","","","","","","",""
"2014","417716","Applied Technology Services","MO","6","36600","19700","","38300","","20600","47700","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","176619","Assemblies of God Theological Seminary","MO","10","40900","29500","","35800","","23100","51900","","39900","39000","43500","","39200","47800","34600","49200"
"2014","176619","Assemblies of God Theological Seminary","MO","8","36400","27100","","33100","","21600","44700","","","","","","","","",""
"2014","176619","Assemblies of God Theological Seminary","MO","6","32800","22400","","30300","","19900","39800","","27600","33700","35600","","30800","38900","28600","38300"
"2014","441496","Aviation Institute of Maintenance-Kansas City","MO","10","34100","23000","","28700","","17800","48600","","30600","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","441496","Aviation Institute of Maintenance-Kansas City","MO","8","38000","30500","","32900","","16000","50900","","","","","","","","",""
"2014","441496","Aviation Institute of Maintenance-Kansas City","MO","6","34300","25800","","28800","","14300","45800","","30900","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","176628","Avila University","MO","10","49700","44900","","44100","","28800","60500","","40200","57900","49700","","47500","52600","45300","57700"
"2014","176628","Avila University","MO","8","41300","23100","","38800","","27100","52500","","","","","","","","",""
"2014","176628","Avila University","MO","6","39900","22000","","37600","","27000","50200","","36600","40000","42000","","39900","39900","39400","40700"
"2014","176664","Baptist Bible College and Graduate School","MO","10","33300","25700","","29000","","15700","44900","","32700","31700","36500","","33200","33800","22500","41100"
"2014","176664","Baptist Bible College and Graduate School","MO","8","29400","19300","","26600","","17900","37600","","","","","","","","",""
"2014","176664","Baptist Bible College and Graduate School","MO","6","23900","14200","","22300","","13900","31800","","Suppressed data","25000","Suppressed data","","Suppressed data","Suppressed data","20200","28100"
"2014","177719","Barnes-Jewish College Goldfarb School of Nursing","MO","10","59500","37600","","55600","","37700","73100","","60900","58900","58300","","56400","60700","Suppressed data","Suppressed data"
"2014","177719","Barnes-Jewish College Goldfarb School of Nursing","MO","8","59700","31900","","56500","","42400","72200","","","","","","","","",""
"2014","177719","Barnes-Jewish College Goldfarb School of Nursing","MO","6","56600","26100","","53900","","40200","69900","","56300","59900","54000","","56600","56600","Suppressed data","Suppressed data"
"2014","460048","Brown Mackie College-St Louis","MO","10","31400","20300","","29400","","16900","42500","","29300","33100","35300","","30800","31900","27100","37200"
