year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","219000","Augustana University","SD","Private not-for-profit","Four or more years"
"2016","219046","Black Hills State University","SD","Public","Four or more years"
"2016","402615","Colorado Technical University-Sioux Falls","SD","Private for-profit","Four or more years"
"2016","219082","Dakota State University","SD","Public","Four or more years"
"2016","219091","Dakota Wesleyan University","SD","Private not-for-profit","Four or more years"
"2016","456807","Globe University-Sioux Falls","SD","Private for-profit","Four or more years"
"2016","219198","Mount Marty College","SD","Private not-for-profit","Four or more years"
"2016","440749","National American University-Ellsworth AFB Extension","SD","Private for-profit","Four or more years"
"2016","219204","National American University-Rapid City","SD","Private for-profit","Four or more years"
"2016","219213","National American University-Sioux Falls","SD","Private for-profit","Four or more years"
"2016","219259","Northern State University","SD","Public","Four or more years"
"2016","219277","Oglala Lakota College","SD","Public","Four or more years"
"2016","219295","Presentation College","SD","Private not-for-profit","Four or more years"
"2016","219374","Sinte Gleska University","SD","Private not-for-profit","Four or more years"
"2016","219240","Sioux Falls Seminary","SD","Private not-for-profit","Four or more years"
"2016","219347","South Dakota School of Mines and Technology","SD","Public","Four or more years"
"2016","219356","South Dakota State University","SD","Public","Four or more years"
"2016","219383","University of Sioux Falls","SD","Private not-for-profit","Four or more years"
"2016","219471","University of South Dakota","SD","Public","Four or more years"
"2015","219000","Augustana University","SD","Private not-for-profit","Four or more years"
"2015","219046","Black Hills State University","SD","Public","Four or more years"
"2015","402615","Colorado Technical University-Sioux Falls","SD","Private for-profit","Four or more years"
"2015","219082","Dakota State University","SD","Public","Four or more years"
"2015","219091","Dakota Wesleyan University","SD","Private not-for-profit","Four or more years"
"2015","456807","Globe University-Sioux Falls","SD","Private for-profit","Four or more years"
"2015","219198","Mount Marty College","SD","Private not-for-profit","Four or more years"
"2015","440749","National American University-Ellsworth AFB Extension","SD","Private for-profit","Four or more years"
"2015","219204","National American University-Rapid City","SD","Private for-profit","Four or more years"
"2015","219213","National American University-Sioux Falls","SD","Private for-profit","Four or more years"
"2015","219259","Northern State University","SD","Public","Four or more years"
"2015","219277","Oglala Lakota College","SD","Public","Four or more years"
"2015","219295","Presentation College","SD","Private not-for-profit","Four or more years"
"2015","219374","Sinte Gleska University","SD","Private not-for-profit","Four or more years"
"2015","219240","Sioux Falls Seminary","SD","Private not-for-profit","Four or more years"
"2015","219347","South Dakota School of Mines and Technology","SD","Public","Four or more years"
"2015","219356","South Dakota State University","SD","Public","Four or more years"
