year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","168528","Adrian College","MI","Private not-for-profit","Four or more years"
"2016","168546","Albion College","MI","Private not-for-profit","Four or more years"
"2016","168591","Alma College","MI","Private not-for-profit","Four or more years"
"2016","168607","Alpena Community College","MI","Public","Four or more years"
"2016","168740","Andrews University","MI","Private not-for-profit","Four or more years"
"2016","168786","Aquinas College","MI","Private not-for-profit","Four or more years"
"2016","168847","Baker College","MI","Private not-for-profit","Four or more years"
"2016","169080","Calvin College","MI","Private not-for-profit","Four or more years"
"2016","169099","Calvin Theological Seminary","MI","Private not-for-profit","Four or more years"
"2016","169248","Central Michigan University","MI","Public","Four or more years"
"2016","486947","Chamberlain College of Nursing-Michigan","MI","Private for-profit","Four or more years"
"2016","169327","Cleary University","MI","Private not-for-profit","Four or more years"
"2016","169442","College for Creative Studies","MI","Private not-for-profit","Four or more years"
"2016","459417","Compass College of Cinematic Arts","MI","Private not-for-profit","Four or more years"
"2016","169363","Concordia University-Ann Arbor","MI","Private not-for-profit","Four or more years"
"2016","170037","Cornerstone University","MI","Private not-for-profit","Four or more years"
"2016","169424","Cranbrook Academy of Art","MI","Private not-for-profit","Four or more years"
"2016","169479","Davenport University","MI","Private not-for-profit","Four or more years"
"2016","482510","DeVry University-Michigan","MI","Private for-profit","Four or more years"
"2016","169798","Eastern Michigan University","MI","Public","Four or more years"
"2016","247162","Ecumenical Theological Seminary","MI","Private not-for-profit","Four or more years"
"2016","169910","Ferris State University","MI","Public","Four or more years"
"2016","172440","Finlandia University","MI","Private not-for-profit","Four or more years"
"2016","170000","Grace Bible College","MI","Private not-for-profit","Four or more years"
"2016","170082","Grand Valley State University","MI","Public","Four or more years"
"2016","170091","Great Lakes Christian College","MI","Private not-for-profit","Four or more years"
"2016","170240","Henry Ford College","MI","Public","Four or more years"
"2016","170286","Hillsdale College","MI","Private not-for-profit","Four or more years"
"2016","170301","Hope College","MI","Private not-for-profit","Four or more years"
"2016","445124","International Academy of Design and Technology-Troy","MI","Private for-profit","Four or more years"
"2016","442338","ITT Technical Institute-Canton","MI","Private for-profit","Four or more years"
"2016","459709","ITT Technical Institute-Dearborn","MI","Private for-profit","Four or more years"
"2016","479585","ITT Technical Institute-Southfield","MI","Private for-profit","Four or more years"
"2016","448479","ITT Technical Institute-Swartz Creek","MI","Private for-profit","Four or more years"
"2016","261472","ITT Technical Institute-Troy","MI","Private for-profit","Four or more years"
"2016","170417","ITT Technical Institute-Wyoming","MI","Private for-profit","Four or more years"
"2016","170444","Jackson College","MI","Public","Four or more years"
"2016","170532","Kalamazoo College","MI","Private not-for-profit","Four or more years"
"2016","169983","Kettering University","MI","Private not-for-profit","Four or more years"
"2016","171881","Kuyper College","MI","Private not-for-profit","Four or more years"
"2016","170620","Lake Michigan College","MI","Public","Four or more years"
