year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","200633","Academy of Court Reporting and Technology-Cleveland","OH","10","27100","18100","","25300","","14000","36500","","24300","29200","34000","","28900","26200","25000","33300"
"2014","200633","Academy of Court Reporting and Technology-Cleveland","OH","8","25100","17400","","23500","","12000","34600","","","","","","","","",""
"2014","200633","Academy of Court Reporting and Technology-Cleveland","OH","6","22900","15700","","21400","","11100","31600","","19700","26200","30500","","22800","23000","20900","28200"
"2014","203030","Adult and Community Education-Hudson","OH","10","41800","26500","","40300","","21300","56600","","34600","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","203030","Adult and Community Education-Hudson","OH","8","44100","21300","","44700","","29800","59400","","","","","","","","",""
"2014","203030","Adult and Community Education-Hudson","OH","6","35000","18200","","35300","","20600","48300","","34800","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","389860","Adult Center for Education","OH","10","33400","21800","","30700","","18100","43600","","32200","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","31600","37700"
"2014","389860","Adult Center for Education","OH","8","32000","19900","","29900","","18000","43200","","","","","","","","",""
"2014","389860","Adult Center for Education","OH","6","29000","17700","","28400","","16200","38400","","26400","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","26600","34300"
"2014","200785","Akron Institute of Herzing University","OH","10","41600","27900","","37800","","22900","54700","","35000","42500","52600","","44100","40500","34200","48500"
"2014","200785","Akron Institute of Herzing University","OH","8","35100","24200","","31600","","18300","46700","","","","","","","","",""
"2014","200785","Akron Institute of Herzing University","OH","6","30100","20500","","27900","","15300","41000","","24500","34900","40100","","33200","29400","27400","38900"
"2014","200828","Akron School of Practical Nursing","OH","10","39400","19700","","39300","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","200828","Akron School of Practical Nursing","OH","8","37500","17600","","37600","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","200828","Akron School of Practical Nursing","OH","6","29400","15200","","28300","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
