year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","152822","AIB College of Business","IA","10","41800","24200","","40000","","27200","52500","","37100","42000","46200","","43900","36400","38400","50100"
"2014","152822","AIB College of Business","IA","8","38600","19700","","38500","","24900","50500","","","","","","","","",""
"2014","152822","AIB College of Business","IA","6","36800","19200","","35700","","23900","46700","","32000","36700","43000","","36800","36900","34700","41500"
"2014","152798","Allen College","IA","10","52800","33400","","50800","","35300","62700","","Suppressed data","Suppressed data","55000","","51200","56500","Suppressed data","Suppressed data"
"2014","152798","Allen College","IA","8","55600","28100","","52200","","38500","64900","","","","","","","","",""
"2014","152798","Allen College","IA","6","53000","22100","","50000","","39600","64100","","Suppressed data","Suppressed data","54600","","50400","57900","Suppressed data","Suppressed data"
"2014","153092","American College of Hairstyling-Cedar Rapids","IA","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","153092","American College of Hairstyling-Cedar Rapids","IA","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","153092","American College of Hairstyling-Cedar Rapids","IA","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","153588","American College of Hairstyling-Des Moines","IA","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","153588","American College of Hairstyling-Des Moines","IA","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","153588","American College of Hairstyling-Des Moines","IA","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
