year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","152822","AIB College of Business","IA","Private not-for-profit","Four or more years"
"2016","152798","Allen College","IA","Private not-for-profit","Four or more years"
"2016","152992","Briar Cliff University","IA","Private not-for-profit","Four or more years"
"2016","153001","Buena Vista University","IA","Private not-for-profit","Four or more years"
"2016","153108","Central College","IA","Private not-for-profit","Four or more years"
"2016","153126","Clarke University","IA","Private not-for-profit","Four or more years"
"2016","153144","Coe College","IA","Private not-for-profit","Four or more years"
"2016","153162","Cornell College","IA","Private not-for-profit","Four or more years"
"2016","154156","Des Moines University-Osteopathic Medical Center","IA","Private not-for-profit","Four or more years"
"2016","153241","Divine Word College","IA","Private not-for-profit","Four or more years"
"2016","153250","Dordt College","IA","Private not-for-profit","Four or more years"
"2016","153269","Drake University","IA","Private not-for-profit","Four or more years"
"2016","153302","Emmaus Bible College","IA","Private not-for-profit","Four or more years"
"2016","153320","Faith Baptist Bible College and Theological Seminary","IA","Private not-for-profit","Four or more years"
"2016","153366","Graceland University-Lamoni","IA","Private not-for-profit","Four or more years"
"2016","153375","Grand View University","IA","Private not-for-profit","Four or more years"
"2016","153384","Grinnell College","IA","Private not-for-profit","Four or more years"
"2016","153427","Hamilton Technical College","IA","Private for-profit","Four or more years"
"2016","153603","Iowa State University","IA","Public","Four or more years"
"2016","153621","Iowa Wesleyan University","IA","Private not-for-profit","Four or more years"
"2016","451954","ITT Technical Institute-Clive","IA","Private for-profit","Four or more years"
"2016","260910","Kaplan University-Cedar Falls Campus","IA","Private for-profit","Four or more years"
"2016","153418","Kaplan University-Cedar Rapids Campus","IA","Private for-profit","Four or more years"
"2016","260901","Kaplan University-Davenport Campus","IA","Private for-profit","Four or more years"
"2016","367024","Kaplan University-Des Moines Campus","IA","Private for-profit","Four or more years"
"2016","153409","Kaplan University-Mason City Campus","IA","Private for-profit","Four or more years"
"2016","153825","Loras College","IA","Private not-for-profit","Four or more years"
"2016","153834","Luther College","IA","Private not-for-profit","Four or more years"
"2016","153861","Maharishi University of Management","IA","Private not-for-profit","Four or more years"
"2016","153977","Mercy College of Health Sciences","IA","Private not-for-profit","Four or more years"
"2016","154004","Morningside College","IA","Private not-for-profit","Four or more years"
"2016","154013","Mount Mercy University","IA","Private not-for-profit","Four or more years"
"2016","154101","Northwestern College","IA","Private not-for-profit","Four or more years"
"2016","154174","Palmer College of Chiropractic","IA","Private not-for-profit","Four or more years"
"2016","154235","Saint Ambrose University","IA","Private not-for-profit","Four or more years"
"2016","480499","Shiloh University","IA","Private not-for-profit","Four or more years"
"2016","154350","Simpson College","IA","Private not-for-profit","Four or more years"
"2016","154262","St Luke's College","IA","Private not-for-profit","Four or more years"
"2016","153278","University of Dubuque","IA","Private not-for-profit","Four or more years"
"2016","153658","University of Iowa","IA","Public","Four or more years"
"2016","154095","University of Northern Iowa","IA","Public","Four or more years"
"2016","446729","University of Phoenix-Iowa","IA","Private for-profit","Four or more years"
"2016","154493","Upper Iowa University","IA","Private not-for-profit","Four or more years"
"2016","154518","Waldorf University","IA","Private for-profit","Four or more years"
"2016","154527","Wartburg College","IA","Private not-for-profit","Four or more years"
"2016","154536","Wartburg Theological Seminary","IA","Private not-for-profit","Four or more years"
"2016","154590","William Penn University","IA","Private not-for-profit","Four or more years"
"2015","152822","AIB College of Business","IA","Private not-for-profit","Four or more years"
"2015","152798","Allen College","IA","Private not-for-profit","Four or more years"
"2015","152992","Briar Cliff University","IA","Private not-for-profit","Four or more years"
"2015","153001","Buena Vista University","IA","Private not-for-profit","Four or more years"
"2015","153108","Central College","IA","Private not-for-profit","Four or more years"
"2015","153126","Clarke University","IA","Private not-for-profit","Four or more years"
"2015","153144","Coe College","IA","Private not-for-profit","Four or more years"
"2015","153162","Cornell College","IA","Private not-for-profit","Four or more years"
"2015","154156","Des Moines University-Osteopathic Medical Center","IA","Private not-for-profit","Four or more years"
"2015","153241","Divine Word College","IA","Private not-for-profit","Four or more years"
"2015","153250","Dordt College","IA","Private not-for-profit","Four or more years"
"2015","153269","Drake University","IA","Private not-for-profit","Four or more years"
"2015","153302","Emmaus Bible College","IA","Private not-for-profit","Four or more years"
"2015","153320","Faith Baptist Bible College and Theological Seminary","IA","Private not-for-profit","Four or more years"
"2015","153366","Graceland University-Lamoni","IA","Private not-for-profit","Four or more years"
"2015","153375","Grand View University","IA","Private not-for-profit","Four or more years"
"2015","153384","Grinnell College","IA","Private not-for-profit","Four or more years"
"2015","153427","Hamilton Technical College","IA","Private for-profit","Four or more years"
"2015","153603","Iowa State University","IA","Public","Four or more years"
"2015","153621","Iowa Wesleyan University","IA","Private not-for-profit","Four or more years"
"2015","459620","ITT Technical Institute-Cedar Rapids","IA","Private for-profit","Four or more years"
"2015","451954","ITT Technical Institute-Clive","IA","Private for-profit","Four or more years"
"2015","260910","Kaplan University-Cedar Falls Campus","IA","Private for-profit","Four or more years"
"2015","153418","Kaplan University-Cedar Rapids Campus","IA","Private for-profit","Four or more years"
"2015","260901","Kaplan University-Davenport Campus","IA","Private for-profit","Four or more years"
"2015","367024","Kaplan University-Des Moines Campus","IA","Private for-profit","Four or more years"
"2015","153409","Kaplan University-Mason City Campus","IA","Private for-profit","Four or more years"
